Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Ahli United Bank,https://www.crunchbase.com/organization/ahli-united-bank,"Manama, Al Manamah, Bahrain",Ahli United Bank offers global fund management and life insurance services.,"148,527",info@ahliunited.com,+97317585858,"Ahli United Bank B.S.C. (""AUB"" or the ""Bank"") was established as a bank in Bahrain on 31 May 2000 following a merger between The United Bank of Kuwait PLC (""UBK"") and Al-Ahli Commercial Bank B.S.C. (""ACB"") pursuant to which UBK and ACB each became wholly owned subsidiaries of AUB. The Bank operates under a retail banking license issued by the Central Bank of Bahrain (""CBB"").  In addition to the Group's wholly owned operations of AUB (Bahrain) and AUB (United Kingdom), AUB Group has an 85.4 % stake in AUB (Egypt), a 74.9% stake in AUB (Kuwait), a 68.9% stake in Commercial Bank of Iraq, a 40% stake in United Bank of Commerce & Investment (Libya) and a 35% stake in Ahli Bank (Oman). AUB also has a 50% stake in Legal & General Gulf, an insurance joint venture with UK-based Legal & General.  AUB and its network of subsidiaries and associated companies (the ""AUB Group"" or the ""Group"") form a banking group providing (i) retail banking, (ii) corporate banking, treasury and investment, (iii) private banking and wealth management services and (iv) Sharia'-compliant banking services under the ""Al Hilal"" brand name. The Bank is continuously assessing and seeking to expand in the GCC and to acquire complementary banking platforms in identified secondary markets in the Middle East and North Africa (""MENA"") region in order to act as a preferred regional and international intermediary for its clients. AUB Group's diverse geographical footprint provides a conduit to tapping cross border business and investment flows within the MENA region. The AUB Group's presence in the United Kingdom services the need of its Gulf clients in UK.",https://in.linkedin.com/company/al-ahli-united-bank,,,http://ahliunited.com/bh_about.html,For Profit,,1001-5000,Gulf Cooperation Council (GCC),Banking,,12,,"37,751","608,452","Financial Services, Lending and Investments",$1B to $10B,14.06%,35,,,2000-05-31,day,Active,,,1,1,,M&A,,,,,,,,,,,,,,,,,,,,,Was Acquired,Ahli United Bank acquired by Kuwait Finance,https://www.crunchbase.com/acquisition/kuwait-finance-acquires-ahli-united-bank--2a7ea186,Kuwait Finance,https://www.crunchbase.com/organization/kuwait-finance,8800000000,USD,8800000000,Acquisition,,,,,,,-5.42%,3.67,,,,,,,
Global Venture Capital,https://www.crunchbase.com/organization/global-venture-capital,"Manama, Al Manamah, Bahrain","GVCH is a Capital Investment Advisory and Venture Capital Management firm, that specializes in developing new capital markets.","149,080",projects@gvch.net,,"GVCH is a Capital Investment Advisory and Venture Capital Management firm, that specializes in developing new capital markets. GVCH is a Bahrain Company based in Manama, representing a group of investors and private angels of high net worth. GVCH develops private equity programs including Venture Capital funds as well as partnerships for funding technology applications relating to oil & gas, power, water, real estate and agronomics, as well as IT, telecommunications, biotechnology and new material technology. Their Mission is to develop an appropriate Venture Capital industry infrastructure and community through out the GCC states, fostering closer investment and technology ties between the Gulf Region and the U.S.A. as well as the E.U. Community. Successful venture capitalists are scholars of strategy, focusing on identifying sectors of the economy where the rate of business change is greatest and investment opportunities most profound. By focusing on sectors that they believe offer outstanding opportunity, they identify great companies earlier, add value sooner, and help them achieve greater success.",,,,http://www.gvch.net,,,1-10,Gulf Cooperation Council (GCC),,,22,,,,,,,1,,,1972-01-01,year,Closed,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",15,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optica,https://www.crunchbase.com/organization/optica,"Manama, Al Manamah, Bahrain",Leveraging a combination of proprietary software (application).,"149,588",optica@optica.net,+973 1700 0250,Leveraging a combination of proprietary software (application) and hardware technology to raise the effectiveness of colorblind rectification with economical smart glasses.,,https://www.facebook.com/opticame,https://www.twitter.com/optica_me,http://www.optica.net,For Profit,,51-100,Gulf Cooperation Council (GCC),"Internet, Software",,4,,207,"6,308,979","Internet Services, Software",$1M to $10M,,17,,,1972-01-01,year,Active,,,,,,Seed,1,2014-12-01,12500,USD,12500,12500,USD,12500,Seed,12500,USD,12500,Seed,12500,USD,12500,Cyberport Hong Kong,,1,,,,,,,,,,,,,,,,,,4,,,,,,,
Beanboat,https://www.crunchbase.com/organization/beanboat,"Manama, Al Manamah, Bahrain",Beanboat is an e-Commerce and direct trade platform connecting family-owned coffee farmers in Colombia with consumers around the world.,"150,518",hello@beanboat.com,00973 36414612,Beanboat is an e-commerce platform that bridges the gap between coffee farmers and consumers through an innovation and sustainable business model.,https://www.linkedin.com/company/67096909/admin/,https://web.facebook.com/Beanboat-Coffee-496553217360016/,,https://beanboat.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Agriculture, E-Commerce, Food and Beverage",,,,"18,036","929,942","Agriculture and Farming, Commerce and Shopping, Food and Beverage",,1.59%,28,,,2018-01-14,day,Active,,,,,,Seed,1,2019-11-17,33000,USD,33000,33000,USD,33000,Seed,33000,USD,33000,Seed,33000,USD,33000,Flat6Labs,,1,,,,,,,,,,,,,,,,,1.48%,5.63,,,,,,,
Malaeb,https://www.crunchbase.com/organization/malaeb,"Sitrah, Sitrah, Bahrain",Malaeb is community app for football players that allows you to join matches and book fields.,"155,150",hello@malaebapp.com,,Malaeb is community app for football players that allows you to join matches and book fields.,https://in.linkedin.com/company/malaeb,https://www.facebook.com/malaebapp/,https://twitter.com/malaebapp,http://www.malaebapp.com,For Profit,"Ahmed AlRawi, Yasser Hadi",11-50,Gulf Cooperation Council (GCC),"Apps, Sports",,1,,,,"Apps, Software, Sports",$1M to $10M,,31,6,2,2016-05-15,day,Active,,,,,,Seed,2,2018-06-18,,,,,,,Seed,,,,Seed,,,,"500 Startups, Raed Ventures, Vision Ventures, Inspire Ventures",1,4,,,,,,,,,,,,,,,,1,,,"15,952",,,,,,
uTrack TV,https://www.crunchbase.com/organization/utrack-tv,"Manama, Al Manamah, Bahrain",uTrack TV is a video on demand application and platform for live streaming events.,"156,549",hello@utrack.live,+973 3633 3376,"uTrack TV is a video on demand application and platform for live streaming events. The platform provides unique content from across the world specializing in motorsports, sports & entertainment offering both live events and championships as well as documentaries, biographies, and much more both original by uTrack and content produced by others. They specialize in Live broadcast of any event through their Mobile App technology which is compatible with any connected device. uTrack TV bridges the gap between fans and events, creating a higher market value to championships by attracting sponsorship and viewership for a mutual benefit of all entities. The platform live stream the event through their unique transcoding technology to a worldwide audience of their Free app on both Android and iOS.",https://www.linkedin.com/company/utracktv,http://www.facebook.com/uTrackTV,http://twitter.com/utracktv,http://www.utrack.tv,For Profit,Ali Mahmood,1-10,Gulf Cooperation Council (GCC),"Apps, Mobile, News, Sports",,,,,,"Apps, Content and Publishing, Media and Entertainment, Mobile, Software, Sports",$1M to $10M,,32,,1,2012-09-11,day,Active,,,,,,,2,2015-04-17,76283,USD,76283,76283,USD,76283,Venture - Series Unknown,,,,Venture - Series Unknown,,,,500 Startups,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,
Batelco,https://www.crunchbase.com/organization/batelco,"Hamala, Al Mintaqah al Gharbiyah, Bahrain",Batelco (Bahrain Telecommunications Company) the leading digital solutions provider.,"161,800",,0000-97317885147,"Batelco (Bahrain Telecommunications Company) the leading digital solutions provider in the Kingdom of Bahrain continues with its commitment to enhance customer experience. Batelco serves both the corporate and consumer markets through the delivery of cutting-edge fixed and wireless telecommunications solutions. Its comprehensive portfolio of solutions for the residential, business and government segments in Bahrain include all IP fixed and 4G LTE wireless Home Internet networks and MPLS based regional data solutions. The Company’s digitisation and connectivity goals are in line with those of the Kingdom of Bahrain to transform how businesses operate as well as transform the lives of residents, enabling everyone to connect, work and live better through the delivery of technology based products and solutions. With an ongoing commitment to roll out Smart Home and Smart City digital solutions, Batelco is playing a crucial role in the Kingdom’s prosperity and development. Batelco is also proud of the important role it plays in supporting its local communities and annually contributes to health, education, sports and cultural initiatives.",https://www.linkedin.com/company/batelco/,https://www.facebook.com/batelco/,https://twitter.com/batelco,http://batelco.com/,For Profit,,1001-5000,Gulf Cooperation Council (GCC),"Consumer Electronics, Internet, News, Publishing, Telecommunications",,44,,"187,275","222,078","Consumer Electronics, Content and Publishing, Hardware, Internet Services, Media and Entertainment",$10M to $50M,3.03%,58,11,,1981-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.12%,3.74,830,,,,,,
AMEX (Middle East) B.S.C.,https://www.crunchbase.com/organization/amex-middle-east-b-s-c,"Manama, Al Manamah, Bahrain","AMEX (Middle East) B.S.C. provides credit cards. It offers dollar currency credit and charge cards, and company and corporate cards.","168,484",,+97317557777,,,https://www.facebook.com/americanexpressme,,https://secure.americanexpress.com.bh,For Profit,,251-500,Gulf Cooperation Council (GCC),"Finance, Financial Services",,,,"38,650","531,889",Financial Services,$50M to $100M,-20.83%,25,,,1977-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26%,4.3,,,,,,,
Bahrain FinTech Bay,https://www.crunchbase.com/organization/bahrain-fintech-bay,"Manama, Al Manamah, Bahrain",Largest FinTech Hub in the Middle East ,"175,704",info@bahrainfintechbay.com,,"Bahrain FinTech Bay will be the largest FinTech Hub in the Middle East.    Located conveniently in the Arcapita Building, Bahrain FinTech Bay is a dedicated FinTech co-working space to position Bahrain as a regional FinTech hub.  Our partners include governmental bodies, financial institutions, corporates, consultancy firms, universities, associations, media agencies, venture capital and FinTech start-ups.    The objective is to bring the full spectrum of financial market participants and stakeholders together.   Bahrain FinTech Bay is located on the 3rd Floor of the Arcapita Building and comprises of:    	10,000 sqf office 	7 offices 	21 hot desks 	21 fixed desks 	3 meeting rooms 	2 event venues  	1 studio 	1 communal lounge 	1 pantry 	1 storage",https://www.linkedin.com/company/13455739/,https://www.facebook.com/BahrainFinTechBay/,,https://www.bahrainfintechbay.com/,,"Gerben Visser, Khalid Saad",,Gulf Cooperation Council (GCC),"Financial Services, FinTech, Real Estate, Social Media, Venture Capital",,14,,314,"5,999,776","Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Real Estate",,,51,,2,2017-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-28,2,,1,,,,,,,
Central Bank of Bahrain,https://www.crunchbase.com/organization/central-bank-of-bahrain,"Manama, Al Manamah, Bahrain",The Central Bank of Bahrain is responsible for maintaining monetary & financial stability in the Kingdom.,"178,771",,+973 1754 7777,,https://www.linkedin.com/company/central-bank-of-bahrain,,https://twitter.com/cbb_news,http://www.cbb.gov.bh,For Profit,,251-500,Gulf Cooperation Council (GCC),"Financial Services, Venture Capital",,22,,"11,665","1,171,904","Financial Services, Lending and Investments",$10M to $50M,10.34%,46,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47%,1.95,,,,,,,
National Bank of Bahrain BSC,https://www.crunchbase.com/organization/national-bank-of-bahrain-bsc,"Manama, Al Manamah, Bahrain","National Bank of Bahrain BSC is a provider of retail and wholesale commercial banking, treasury and investment.","180,936",nbb@nbbonline.com,+973 1722 8800,"National Bank of Bahrain BSC is a provider of retail and wholesale commercial banking, treasury and investment.",,https://www.facebook.com/nbbsocial,https://www.twitter.com/nbbsocial,http://www.nbbonline.com/,For Profit,,501-1000,Gulf Cooperation Council (GCC),"Banking, Financial Services",,11,,"32,601","648,535","Financial Services, Lending and Investments",$100M to $500M,-69.13%,26,,,1957-01-01,year,Active,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.71%,3.71,,,,,,,
Havelock One Interiors,https://www.crunchbase.com/organization/havelock-ahi,"Sanabis, Jidd Hafs, Bahrain","Havelock One Interiors specializes in joinery,  interior fit-outs and manufacturing of high quality furniture, for blue chip clients.","186,389",marcom@havelockone.com,+973 17 832022,"Since 1998, Havelock One has established itself as a leading turnkey fit-out service provider in the Middle East, specialising in interior contracting and the manufacturing of bespoke joinery, metal works and sophisticated shop-fittings. Being driven by the aspiration to deliver exceptional quality through the power of thoughtful precision, Havelock One supports its demanding client base with high-end services and products for hospitality, F&B, retail, commercial, government, entertainment and residential projects. Havelock One. Consider it done.",https://www.linkedin.com/company/havelock-one/,https://www.facebook.com/havelockone,https://twitter.com/HavelockOne,https://www.havelockone.com,For Profit,Mohammad Ayub Shaikh,501-1000,Gulf Cooperation Council (GCC),"Interior Design, Manufacturing, Product Design",,,,,,"Design, Manufacturing, Real Estate",$100M to $500M,,54,,1,1998-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank ABC,https://www.crunchbase.com/organization/bank-abc,"Manama, Al Manamah, Bahrain",Bank ABC is licensed as a conventional wholesale bank by the Central Bank of Bahrain.,"189,201",webmaster@bank-abc.com,(973) 17 543000,Bank ABC is licensed as a conventional wholesale bank by the Central Bank of Bahrain.,https://www.linkedin.com/company/arab-banking-corporation/,https://www.facebook.com/BankABCGroup/,,https://www.bank-abc.com/,For Profit,,1001-5000,Gulf Cooperation Council (GCC),"Banking, Finance, Financial Services",,4,,"39,452","581,140","Financial Services, Lending and Investments",,-9.97%,41,4,,1980-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,,,,18.31%,3.85,"1,409",,,,,,
Al Baraka Banking Group,https://www.crunchbase.com/organization/al-baraka-banking-group,"Manama, Al Manamah, Bahrain",Al Baraka Banking Group is a Bahrain Joint Stock Company licensed as an Islamic wholesale bank by Central Bank of Bahrain.,"194,746",,+973 1754 1122,"Al Baraka offers retail, corporate, treasury and investment banking services, strictly in accordance with the principles of the Islamic Shari'a. The authorized capital of Al Baraka is US$ 1.5 billion, while total equity is at about US$ 2.1 billion.",,,,http://www.albaraka.com/,For Profit,,10001+,Gulf Cooperation Council (GCC),"Banking, Financial Services",,3,,"4,599","2,125,760","Financial Services, Lending and Investments",,962.12%,35,2,,2002-01-01,year,Active,,,,,,IPO,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,BARKA,https://www.crunchbase.com/ipo/al-baraka-banking-group-ipo--7f816f87,BSE - Bulgarian Stock Exchange,,,-61.86%,1,,,,,,,
Aion Digital,https://www.crunchbase.com/organization/aion-digital,"Manama, Al Manamah, Bahrain",Aion Digital is a next-gen fintech platform for deposit mobilization. We exist because deposit banking in its traditional format is dead.,"199,620",,,Aion Digital is a next-gen fintech platform for deposit mobilization. We exist because deposit banking in its traditional format is dead.,https://www.linkedin.com/company/aiondigital/,https://www.facebook.com/AionDigitalbyWaqfe/,https://twitter.com/aiondigital,,For Profit,,101-250,Gulf Cooperation Council (GCC),"Financial Services, FinTech",,3,,,,Financial Services,,,,,,2017-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain Economic Development Board,https://www.crunchbase.com/organization/bahrain-economic-development-board,"Manama, Al Manamah, Bahrain",Bahrain Economic Development Board is a public agency with the overall responsibility of attracting investment into the Kingdom of Bahrain.,"210,865",investorenquiries@bahrainedb.com,+973 17 58 99 00,"The Bahrain Economic Development Board (EDB) is a dynamic public agency with the overall responsibility for attracting investment into the Kingdom and supporting initiatives that enhance the investment climate.   The EDB works with the government and both current and prospective investors to ensure that Bahrain’s investment climate is attractive, to communicate the key strengths, and to identify where opportunities exist for further economic growth through investment.   The EDB focuses on several economic sectors that capitalise on Bahrain's competitive advantages. These sectors include Financial Services, Manufacturing, ICT, Tourism & Leisure, Logistics and Transport.   The Bahrain EDB Board is chaired by His Royal Highness Prince Salman bin Hamad Al Khalifa, the Crown Prince, Deputy Supreme Commander and First Deputy Prime Minister and includes representatives of the Bahraini Government and private sector.",https://www.linkedin.com/company/bahrainedb/,https://www.facebook.com/pg/BahrainEDB,https://twitter.com/bahrainedb,http://www.bahrainedb.com/en/,,,101-250,Gulf Cooperation Council (GCC),"Association, Government",,84,,"126,159","289,226","Government and Military, Other",$1M to $10M,38.05%,96,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-17.24%,5.2,,,,,,,
